District,Road_Slot,Latitude,Longitude
Pontianak North,I,-0.0177428700135727,109.3425198933207
Pontianak North,I,-0.000289971364132,109.32383625302252
Pontianak North,I,-0.0061156960646148,109.33075715550036
Pontianak North,I,-0.00642811166557,109.33107321924774
Pontianak North,I,-0.0121335939705571,109.33636106172403
Pontianak North,I,0.0100656223178903,109.29538391506648
Pontianak North,I,0.0065165159984991,109.30447329712014
Pontianak North,I,0.0032725271886673,109.31386264593516
Pontianak North,I,0.0011951976755623,109.31998575059364
Pontianak North,I,0.0117156058852595,109.29137574870089
Pontianak North,I,-0.0154417943276542,109.361881141192
Pontianak North,I,-0.0162082222778521,109.35720301912974
Pontianak North,I,-0.0185078146262073,109.3509229769192
Pontianak North,I,-0.0182912904912769,109.3451850869362
Pontianak North,I,-0.0178663244716731,109.3428748330482
Pontianak North,I,-0.0147635657994733,109.36318359862172
Pontianak North,I,-0.0095499802027276,109.3634200256889
Pontianak North,I,-0.0027496290070958,109.36380218217292
Pontianak North,I,0.0021752575587352,109.3642131697948
Pontianak North,I,0.0017616473975456,109.36416832861704
Pontianak North,I,0.012304198891051,109.36500962021844
Pontianak North,I,0.0152661193326635,109.36951798668495
Pontianak North,I,-0.0156097089560732,109.3635547796754
Pontianak North,I,-0.0149512733560378,109.36515320685372
Pontianak North,I,-0.0152947593433505,109.36835619331578
Pontianak North,I,-0.0154689138953072,109.3741877375869
Pontianak North,I,-0.0146652762941466,109.37628832541296
Pontianak East,I,-0.0251224444067024,109.36238083960534
Pontianak East,I,-0.0229867409887592,109.3626950534182
Pontianak East,I,-0.024273287216351,109.3625740846266
Pontianak East,I,-0.0248121945667107,109.36246838653524
Pontianak East,I,-0.0157153156251572,109.36280087157888
Pontianak East,I,-0.0342110649691982,109.35672797579517
Pontianak East,I,-0.0339767764661118,109.35709774066414
Pontianak East,I,-0.0335776516424062,109.3577425759827
Pontianak East,I,-0.0309103892563025,109.36049032248016
Pontianak East,I,-0.0282845776046651,109.36149515525295
Pontianak East,I,-0.0347382618507083,109.35593358056708
Pontianak South,I,-0.0392680428542887,109.34825275109982
Pontianak South,I,-0.0377122278244003,109.35048001288764
Pontianak South,I,-0.0398214120946125,109.3483358967458
Pontianak South,I,-0.0438710246644368,109.35221197745844
Pontianak South,I,-0.039304854575254,109.34789514870536
Pontianak South,I,-0.0370524335350803,109.34684645420752
Pontianak South,I,-0.0339406687507602,109.3461526356887
Pontianak South,I,-0.0298577916812345,109.3445426151218
Pontianak South,I,-0.0272841478228782,109.34295418737692
Pontianak South,I,-0.040856955631226,109.3462155589768
Pontianak South,I,-0.0415641535446853,109.34520210859095
Pontianak South,I,-0.0457993523398515,109.34256720099526
Pontianak South,I,-0.0508333555915939,109.3457665859812
Pontianak South,I,-0.0452463988076426,109.34109265222504
Pontianak South,I,-0.0415683583186331,109.337935858843
Pontianak South,I,-0.0386358384489013,109.3355380659364
Pontianak South,I,-0.0365550522496194,109.33385844893438
Pontianak City,I,-0.0260101772099827,109.34222541142124
Pontianak City,I,-0.0236940671547528,109.34033575462
Pontianak City,I,-0.0248239310909823,109.3413084135443
Pontianak City,I,-0.0198200806541717,109.33548095925464
Pontianak City,I,-0.018193943927592,109.33343623866696
Pontianak City,I,-0.0342621490942188,109.33191272888236
Pontianak City,I,-0.0337961358709504,109.33162069275582
Pontianak City,I,-0.0321082490699878,109.33057162396813
Pontianak City,I,-0.0290731823279146,109.32867522270564
Pontianak City,I,-0.0281710285669331,109.3281986182924
Pontianak City,I,-0.0258394792758465,109.32678948796088
Pontianak City,I,-0.0197788937692601,109.32643910435804
Pontianak City,I,-0.0357368925322236,109.33253879421667
Pontianak City,I,-0.037460857622364,109.33048964532956
Pontianak City,I,-0.0387954887498622,109.32905398479208
Pontianak City,I,-0.0404236380905424,109.32715302794594
Pontianak City,I,-0.0421138350261531,109.32522937611571
Pontianak City,I,-0.0435807347458585,109.32363497012018
Pontianak City,I,-0.0447286688391651,109.32245766038504
Pontianak City,I,-0.0496491203967635,109.31759221025494
Pontianak City,I,-0.0510400492641455,109.31617633167608
Pontianak City,I,-0.0548810520516697,109.31228454329786
Pontianak City,I,-0.0593315295445024,109.3078706875922
Pontianak City,I,-0.0626220754854478,109.30458852683743
Pontianak West,I,-0.0181946899023549,109.33126704554132
Pontianak West,I,-0.0186002395824285,109.32930200703218
Pontianak West,I,-0.0195961665240259,109.32374520833676
Pontianak West,I,-0.0204549167740225,109.31933279834573
Pontianak West,I,-0.0211884726776775,109.31604789189524
Pontianak West,I,-0.0221901291234661,109.31247140292632
Pontianak West,I,-0.0230493450996039,109.30993037306102
Pontianak West,I,-0.023338611489567,109.30478159545947
Pontianak West,I,-0.0237218962012453,109.3040306997414
Pontianak West,I,-0.0264302610402509,109.30014653601356
Pontianak West,I,-0.0284891206813923,109.29664629186055
Pontianak West,I,-0.0310503334690364,109.2939199296895
Pontianak West,I,-0.0375337072990789,109.2871833677122
Pontianak West,I,-0.0407668128146522,109.2836912265012
Pontianak West,I,-0.0159479517332832,109.330696715416
Pontianak West,I,-0.0110604017636903,109.3233804435472
Pontianak West,I,-0.0083547018146234,109.31981081717514
Pontianak West,I,-0.0060348555235026,109.31567478204528
Pontianak West,I,-0.0067072740814944,109.31044569414804
Pontianak West,I,-0.004956359053178,109.30284173000216
Pontianak West,I,-0.006887690854331,109.29166193447313
