node,0,1,2,3,4,5,6,7,8,9
0,0.000000,1.900103,2.422628,3.652189,2.796634,2.826223,3.329040,0.550149,3.903849,2.999595
1,1.900103,0.000000,3.286304,4.884044,0.901970,3.593906,4.741362,1.394210,3.404197,1.119595
2,2.422628,3.286304,0.000000,1.659337,4.025789,0.407267,1.716774,2.376096,6.225800,4.267797
3,3.652189,4.884044,1.659337,0.000000,5.663340,1.514340,0.592021,3.788600,7.555957,5.905407
4,2.796634,0.901970,4.025789,5.663340,0.000000,4.291863,5.566385,2.296180,3.400886,0.242130
5,2.826223,3.593906,0.407267,1.514340,4.291863,0.000000,1.712003,2.759199,6.606797,4.532685
6,3.329040,4.741362,1.716774,0.592021,5.566385,1.712003,0.000000,3.541110,7.212251,5.806632
7,0.550149,1.394210,2.376096,3.788600,2.296180,2.759199,3.541110,0.000000,3.849710,2.510308
8,3.903849,3.404197,6.225800,7.555957,3.400886,6.606797,7.212251,3.849710,0.000000,3.318659
9,2.999595,1.119595,4.267797,5.905407,0.242130,4.532685,5.806632,2.510308,3.318659,0.000000
