node,0,1,2,3,4,5,6,7,8,9,10
0,0.000000,1.618962,2.358869,2.962109,2.175019,3.958391,0.617387,3.726524,3.346870,3.259523,2.068383
1,1.618962,0.000000,3.931020,2.008863,1.056655,5.052671,1.931325,5.326846,2.594585,2.781813,1.408920
2,2.358869,3.931020,0.000000,5.224726,4.517374,3.991960,2.402236,1.421488,5.501710,5.278102,3.823149
3,2.962109,2.008863,5.224726,0.000000,0.953738,4.711487,2.827128,6.471643,0.636992,1.050627,3.389910
4,2.175019,1.056655,4.517374,0.953738,0.000000,4.733385,2.194244,5.839190,1.542625,1.783685,2.450634
5,3.958391,5.052671,3.991960,4.711487,4.733385,0.000000,3.359815,4.191554,4.486460,3.966535,5.992860
6,0.617387,1.931325,2.402236,2.827128,2.194244,3.359815,0.000000,3.659990,3.107485,2.927877,2.637759
7,3.726524,5.326846,1.421488,6.471643,5.839190,4.191554,3.659990,0.000000,6.674738,6.381720,5.234129
8,3.346870,2.594585,5.501710,0.636992,1.542625,4.486460,3.107485,6.674738,0.000000,0.549116,3.993248
9,3.259523,2.781813,5.278102,1.050627,1.783685,3.966535,2.927877,6.381720,0.549116,0.000000,4.189888
10,2.068383,1.408920,3.823149,3.389910,2.450634,5.992860,2.637759,5.234129,3.993248,4.189888,0.000000
