node,0,1,2,3,4,5,6,7,8,9,10,11
0,0.000000,4.194410,2.261115,2.339619,1.445684,2.411285,2.887208,2.383592,3.685199,3.692521,2.888831,1.259934
1,4.194410,0.000000,6.276986,5.669643,5.638660,6.336495,4.602064,4.365417,6.890220,3.808271,5.291564,4.894709
2,2.261115,6.276986,0.000000,1.351444,1.138371,2.426261,3.102405,4.218643,4.204811,4.473363,4.319529,1.421500
3,2.339619,5.669643,1.351444,0.000000,2.032101,3.546976,1.813826,4.680772,5.276274,3.244914,5.022780,1.079875
4,1.445684,5.638660,1.138371,2.032101,0.000000,1.530652,3.411501,3.093723,3.244543,4.584494,3.186724,1.365702
5,2.411285,6.336495,2.426261,3.546976,1.530652,0.000000,4.906252,2.682968,1.779078,5.984784,2.321614,2.858187
6,2.887208,4.602064,3.102405,1.813826,3.411501,4.906252,0.000000,5.161491,6.468940,1.454077,5.766953,2.050547
7,2.383592,4.365417,4.218643,4.680772,3.093723,2.682968,5.161491,0.000000,2.573900,5.638671,0.927981,3.616458
8,3.685199,6.890220,4.204811,5.276274,3.244543,1.779078,6.468940,2.573900,0.000000,7.377515,1.716128,4.471335
9,3.692521,3.808271,4.473363,3.244914,4.584494,5.984784,1.454077,5.638671,7.377515,0.000000,6.391579,3.241463
10,2.888831,5.291564,4.319529,5.022780,3.186724,2.321614,5.766953,0.927981,1.716128,6.391579,0.000000,4.015287
11,1.259934,4.894709,1.421500,1.079875,1.365702,2.858187,2.050547,3.616458,4.471335,3.241463,4.015287,0.000000
