node,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.000000,2.656266,1.527542,3.727721,3.044502,3.781512,3.810628,2.750240,4.095060,2.440835,4.006220,4.197398,1.934095
1,2.656266,0.000000,3.526655,1.867342,2.346031,1.277768,5.865582,5.365061,2.803843,3.918716,6.500664,4.374163,2.107633
2,1.527542,3.526655,0.000000,3.876312,2.744621,4.342534,2.395152,2.219781,5.516184,0.993879,4.380903,5.714898,1.772939
3,3.727721,1.867342,3.876312,0.000000,1.348835,1.122030,5.825132,6.051317,4.548299,3.783543,7.732418,6.240795,2.104792
4,3.044502,2.346031,2.744621,1.348835,0.000000,2.278376,4.504012,4.963968,5.136907,2.481708,6.921821,6.406125,1.121947
5,3.781512,1.277768,4.342534,1.122030,2.278376,0.000000,6.520051,6.378883,3.571910,4.481041,7.722120,5.479148,2.640777
6,3.810628,5.865582,2.395152,5.825132,4.504012,6.520051,0.000000,2.287069,7.887016,2.048180,4.843415,7.819622,3.882959
7,2.750240,5.365061,2.219781,6.051317,4.963968,6.378883,2.287069,0.000000,6.641591,2.816126,2.597317,6.019080,3.953716
8,4.095060,2.803843,5.516184,4.548299,5.136907,3.571910,7.887016,6.641591,0.000000,6.223769,6.690742,2.344621,4.666768
9,2.440835,3.918716,0.993879,3.783543,2.481708,4.481041,2.048180,2.816126,6.223769,0.000000,5.216822,6.634514,1.859015
10,4.006220,6.500664,4.380903,7.732418,6.921821,7.722120,4.843415,2.597317,6.690742,5.216822,0.000000,5.194477,5.807360
11,4.197398,4.374163,5.714898,6.240795,6.406125,5.479148,7.819622,6.019080,2.344621,6.634514,5.194477,0.000000,5.587751
12,1.934095,2.107633,1.772939,2.104792,1.121947,2.640777,3.882959,3.953716,4.666768,1.859015,5.807360,5.587751,0.000000
