node,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.000000,4.189683,2.746710,3.652072,2.409691,3.585645,2.907436,3.170572,3.351647,1.023686,1.329611,3.933183,2.563866,3.677694
1,4.189683,0.000000,6.259196,0.816862,4.533143,7.122568,3.632129,1.106932,4.142247,5.180510,5.302373,5.662428,6.396466,6.705686
2,2.746710,6.259196,0.000000,5.957421,2.026974,4.871258,3.223530,5.152315,3.191232,2.011563,1.495926,2.512896,0.657843,5.455946
3,3.652072,0.816862,5.957421,0.000000,4.410937,6.376910,3.686437,1.052803,4.248833,4.669440,4.859097,5.699281,6.016265,5.921163
4,2.409691,4.533143,2.026974,4.410937,0.000000,5.735440,1.196969,3.457791,1.244651,2.479736,2.093403,1.560980,2.467575,6.009352
5,3.585645,7.122568,4.871258,6.376910,5.735440,0.000000,6.464458,6.337287,6.851057,3.263143,3.721167,7.046294,4.261914,1.000754
6,2.907436,3.632129,3.223530,3.686437,1.196969,6.464458,0.000000,2.649692,0.595137,3.330628,3.064868,2.032053,3.638998,6.579072
7,3.170572,1.106932,5.152315,1.052803,3.457791,6.337287,2.649692,0.000000,3.202847,4.132181,4.220873,4.674443,5.295320,6.039642
8,3.351647,4.142247,3.191232,4.248833,1.244651,6.851057,0.595137,3.202847,0.000000,3.642069,3.306501,1.548095,3.688647,7.027898
9,1.023686,5.180510,2.011563,4.669440,2.479736,3.263143,3.330628,4.132181,3.642069,0.000000,0.534559,3.807156,1.663649,3.632236
10,1.329611,5.302373,1.495926,4.859097,2.093403,3.721167,3.064868,4.220873,3.306501,0.534559,0.000000,3.325516,1.234478,4.144302
11,3.933183,5.662428,2.512896,5.699281,1.560980,7.046294,2.032053,4.674443,1.548095,3.807156,3.325516,0.000000,3.150081,7.429015
12,2.563866,6.396466,0.657843,6.016265,2.467575,4.261914,3.638998,5.295320,3.688647,1.663649,1.234478,3.150081,0.000000,4.895180
13,3.677694,6.705686,5.455946,5.921163,6.009352,1.000754,6.579072,6.039642,7.027898,3.632236,4.144302,7.429015,4.895180,0.000000
