node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000000,4.028399,3.398722,3.907097,3.767720,2.658460,3.324247,2.598703,3.805328,2.955136,2.668568,4.084476,4.077569,2.153137,2.542497
1,4.028399,0.000000,4.524139,6.956993,5.985127,4.632851,2.080534,2.460890,2.631134,2.718033,5.274885,1.372709,8.045359,4.296157,5.943544
2,3.398722,4.524139,0.000000,3.005956,7.158962,5.962955,5.353250,4.951021,6.033376,5.420917,6.064544,3.511133,5.374587,5.441792,2.784102
3,3.907097,6.956993,3.005956,0.000000,7.147628,6.383284,7.040323,6.396754,7.613288,6.804012,6.104122,6.256015,2.962582,5.933841,1.398832
4,3.767720,5.985127,7.158962,7.147628,0.000000,1.388057,4.044281,3.524253,3.850722,3.326603,1.103511,6.792105,5.731261,1.849391,5.779252
5,2.658460,4.632851,5.962955,6.383284,1.388057,0.000000,2.782930,2.182090,2.736086,2.060590,0.783800,5.404608,5.543187,0.521314,4.984679
6,3.324247,2.080534,5.353250,7.040323,4.044281,2.782930,0.000000,0.770057,0.695146,0.723811,3.520050,3.234110,7.321280,2.583913,5.771255
7,2.598703,2.460890,4.951021,6.396754,3.524253,2.182090,0.770057,0.000000,1.218245,0.471005,2.867504,3.379482,6.559262,1.900063,5.092042
8,3.805328,2.631134,6.033376,7.613288,3.850722,2.736086,0.695146,1.218245,0.000000,0.871984,3.513926,3.868047,7.694798,2.667057,6.309828
9,2.955136,2.718033,5.420917,6.804012,3.326603,2.060590,0.723811,0.471005,0.871984,0.000000,2.805140,3.747612,6.823248,1.887483,5.478895
10,2.668568,5.274885,6.064544,6.104122,1.103511,0.783800,3.520050,2.867504,3.513926,2.805140,0.000000,5.931950,4.950807,0.978762,4.721366
11,4.084476,1.372709,3.511133,6.256015,6.792105,5.404608,3.234110,3.379482,3.868047,3.747612,5.931950,0.000000,7.815969,4.982259,5.456714
12,4.077569,8.045359,5.374587,2.962582,5.731261,5.543187,7.321280,6.559262,7.694798,6.823248,4.950807,7.815969,0.000000,5.276336,2.594155
13,2.153137,4.296157,5.441792,5.933841,1.849391,0.521314,2.583913,1.900063,2.667057,1.887483,0.978762,4.982259,5.276336,0.000000,4.535676
14,2.542497,5.943544,2.784102,1.398832,5.779252,4.984679,5.771255,5.092042,6.309828,5.478895,4.721366,5.456714,2.594155,4.535676,0.000000
