node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.000000,3.327512,3.811567,3.381869,2.601793,3.240126,3.456540,3.850191,1.947508,3.510711,4.106157,3.006233,1.340660,1.936508,3.046773,2.907401
1,3.327512,0.000000,6.221809,2.580241,3.124984,1.795277,6.074891,6.194310,5.274797,4.543058,7.327313,0.737579,2.030244,4.742526,6.141307,5.669571
2,3.811567,6.221809,0.000000,4.436537,6.410766,6.855479,0.520226,0.138625,3.300065,7.157974,2.681000,5.572578,4.819279,4.888152,4.879084,1.061536
3,3.381869,2.580241,4.436537,0.000000,4.845158,4.120042,4.482301,4.363637,4.968241,6.206973,6.336290,1.858901,2.870315,5.305600,6.380051,4.282558
4,2.601793,3.124984,6.410766,4.845158,0.000000,1.655681,6.038689,6.451568,3.888149,1.429032,6.271936,3.399976,2.040229,2.480492,3.890754,5.474415
5,3.240126,1.795277,6.855479,4.120042,1.655681,0.000000,6.582709,6.863429,4.990166,2.944489,7.305428,2.336963,2.037177,3.912082,5.367133,6.075353
6,3.456540,6.074891,0.520226,4.482301,6.038689,6.582709,0.000000,0.643243,2.796382,6.724371,2.257994,5.458329,4.547890,4.412187,4.361436,0.583739
7,3.850191,6.194310,0.138625,4.363637,6.451568,6.863429,0.643243,0.000000,3.400991,7.221630,2.819584,5.537204,4.829334,4.972187,4.991652,1.159391
8,1.947508,5.274797,3.300065,4.968241,3.888149,4.990166,2.796382,3.400991,0.000000,4.180169,2.383869,4.932133,3.269493,1.714622,1.673410,2.241606
9,3.510711,4.543058,7.157974,6.206973,1.429032,2.944489,6.724371,7.221630,4.180169,0.000000,6.477472,4.827148,3.345781,2.485817,3.576979,6.141406
10,4.106157,7.327313,2.681000,6.336290,6.271936,7.305428,2.257994,2.819584,2.383869,6.477472,0.000000,6.850791,5.436547,3.995018,3.204646,2.142416
11,3.006233,0.737579,5.572578,1.858901,3.399976,2.336963,5.458329,5.537204,4.932133,4.827148,6.850791,0.000000,1.853847,4.638634,5.969487,5.086570
12,1.340660,2.030244,4.819279,2.870315,2.040229,2.037177,4.547890,4.829334,3.269493,3.345781,5.436547,1.853847,0.000000,2.784986,4.136167,4.049394
13,1.936508,4.742526,4.888152,5.305600,2.480492,3.912082,4.412187,4.972187,1.714622,2.485817,3.995018,4.638634,2.784986,0.000000,1.456353,3.833167
14,3.046773,6.141307,4.879084,6.380051,3.890754,5.367133,4.361436,4.991652,1.673410,3.576979,3.204646,5.969487,4.136167,1.456353,0.000000,3.844749
15,2.907401,5.669571,1.061536,4.282558,5.474415,6.075353,0.583739,1.159391,2.241606,6.141406,2.142416,5.086570,4.049394,3.833167,3.844749,0.000000
