node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.000000,2.198004,2.702551,4.134529,1.765924,3.935854,3.499361,3.760851,3.733065,3.782751,3.052580,0.350312,3.191162,2.414267,3.695481,3.809423,1.930608
1,2.198004,0.000000,1.978349,4.186523,0.848351,4.850436,4.811068,5.029556,4.779556,5.979414,5.247944,1.872291,3.982901,4.576898,3.279760,2.846455,1.323866
2,2.702551,1.978349,0.000000,2.236591,2.603833,6.372849,6.104114,6.354987,3.255596,6.032907,5.364797,2.393725,5.535206,4.919302,1.303981,4.823869,0.860106
3,4.134529,4.186523,2.236591,0.000000,4.699041,8.066974,7.609292,7.873849,1.968222,6.348133,5.837973,3.950093,7.295261,5.688905,1.074439,7.010314,2.910200
4,1.765924,0.848351,2.603833,4.699041,0.000000,4.004106,3.971170,4.186047,4.975508,5.444711,4.712198,1.519992,3.136940,3.985316,3.894926,2.363819,1.799064
5,3.935854,4.850436,6.372849,8.066974,4.004106,0.000000,0.922096,0.810446,7.486406,4.796414,4.341781,4.124834,0.867704,3.649787,7.540124,3.447849,5.513403
6,3.499361,4.811068,6.104114,7.609292,3.971170,0.922096,0.000000,0.265875,6.846493,3.879546,3.448289,3.747418,1.188019,2.792579,7.187502,3.957156,5.259799
7,3.760851,5.029556,6.354987,7.873849,4.186047,0.810446,0.265875,0.000000,7.109466,4.053457,3.652211,4.005134,1.278153,3.020129,7.446323,4.047706,5.508186
8,3.733065,4.779556,3.255596,1.968222,4.975508,7.486406,6.846493,7.109466,0.000000,4.736686,4.361361,3.716097,6.840867,4.439753,2.710901,7.322011,3.491890
9,3.782751,5.979414,6.032907,6.348133,5.444711,4.796414,3.879546,4.053457,4.736686,0.000000,0.733441,4.118475,4.687780,1.500757,6.506735,6.870900,5.488272
10,3.052580,5.247944,5.364797,5.837973,4.712198,4.341781,3.448289,3.652211,4.361361,0.733441,0.000000,3.390440,4.132341,0.809847,5.913040,6.188801,4.788553
11,0.350312,1.872291,2.393725,3.950093,1.519992,4.124834,3.747418,4.005134,3.716097,4.118475,3.390440,0.000000,3.345342,2.763101,3.441961,3.690690,1.598533
12,3.191162,3.982901,5.535206,7.295261,3.136940,0.867704,1.188019,1.278153,6.840867,4.687780,4.132341,3.345342,0.000000,3.366175,6.724954,2.773752,4.675101
13,2.414267,4.576898,4.919302,5.688905,3.985316,3.649787,2.792579,3.020129,4.439753,1.500757,0.809847,2.763101,3.366175,0.000000,5.618818,5.381477,4.262658
14,3.695481,3.279760,1.303981,1.074439,3.894926,7.540124,7.187502,7.446323,2.710901,6.506735,5.913040,3.441961,6.724954,5.618818,0.000000,6.126167,2.107318
15,3.809423,2.846455,4.823869,7.010314,2.363819,3.447849,3.957156,4.047706,7.322011,6.870900,6.188801,3.690690,2.773752,5.381477,6.126167,0.000000,4.103089
16,1.930608,1.323866,0.860106,2.910200,1.799064,5.513403,5.259799,5.508186,3.491890,5.488272,4.788553,1.598533,4.675101,4.262658,2.107318,4.103089,0.000000
