customer_id,x_km,y_km,demand
C001,1.105871,-0.379445,1.507
C002,3.015687,-1.608655,1.699
C003,1.541418,-0.015396,1.386
C004,-1.227480,-3.077987,1.796
C005,-1.965973,3.013794,1.788
C006,-2.546071,-1.409626,2.064
C007,3.308361,-1.875036,2.110
C008,1.276979,1.575194,1.372
C009,-1.703698,2.990931,1.247
C010,-2.276788,3.198466,1.509
C011,-1.727888,-1.761915,1.899
C012,-1.489217,-1.376170,2.158
C013,-1.102293,1.199413,1.808
C014,-2.288219,2.253026,1.639
C015,0.888018,-2.062482,1.491
C016,-0.223004,1.459184,1.444
C017,-0.183463,-1.449025,1.904
