node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.000000,1.169158,3.417915,1.541495,3.313715,3.598334,2.910245,3.802763,2.027784,3.442130,3.926060,2.467781,2.027711,1.629000,3.211242,2.245531,1.476126,1.460593
1,1.169158,0.000000,2.271201,0.567655,3.567444,4.577150,3.794464,2.662283,1.962114,4.387837,4.923803,3.153001,2.779918,2.714550,4.295318,1.697078,2.268582,1.675227
2,3.417915,2.271201,0.000000,2.170701,4.490368,6.795880,5.565318,0.395748,3.627672,6.590052,7.149735,4.746050,4.510899,4.984276,6.560793,2.175531,4.461026,3.203130
3,1.541495,0.567655,2.170701,0.000000,4.128711,4.634414,4.318732,2.565218,1.612422,4.423662,4.990753,3.706574,3.322116,2.909462,4.451052,2.148835,2.299473,2.242879
4,3.313715,3.567444,4.490368,4.128711,0.000000,6.136381,2.126525,4.692648,5.284354,6.087573,6.363561,1.407996,1.721826,4.279231,5.435519,2.346611,4.647030,1.934809
5,3.598334,4.577150,6.795880,4.634414,6.136381,0.000000,4.461296,7.191610,3.547719,0.263270,0.361538,4.781640,4.415777,2.009459,0.826203,5.823560,2.335542,4.805632
6,2.910245,3.794464,5.565318,4.318732,2.126525,4.461296,0.000000,5.872902,4.850243,4.480458,4.615954,0.890803,1.057384,2.981875,3.671718,3.495596,3.691438,2.362936
7,3.802763,2.662283,0.395748,2.565218,4.692648,7.191610,5.872902,0.000000,4.003823,6.985583,7.545483,5.037519,4.823444,5.376439,6.954322,2.427590,4.856702,3.517715
8,2.027784,1.962114,3.627672,1.612422,5.284354,3.547719,4.850243,4.003823,0.000000,3.299810,3.906952,4.490603,4.045044,2.408764,3.629062,3.658412,1.504462,3.358391
9,3.442130,4.387837,6.590052,4.423662,6.087573,0.263270,4.480458,6.985583,3.299810,0.000000,0.609511,4.752908,4.372365,1.889769,0.941365,5.679259,2.130424,4.693008
10,3.926060,4.923803,7.149735,4.990753,6.363561,0.361538,4.615954,7.545483,3.906952,0.609511,0.000000,4.990658,4.641936,2.318546,0.945509,6.139509,2.691307,5.097174
11,2.467781,3.153001,4.746050,3.706574,1.407996,4.781640,0.890803,5.037519,4.490603,4.752908,4.990658,0.000000,0.453611,3.026686,4.053853,2.633117,3.555299,1.575801
12,2.027711,2.779918,4.510899,3.322116,1.721826,4.415777,1.057384,4.823444,4.045044,4.372365,4.641936,0.453611,0.000000,2.604484,3.716110,2.474322,3.105242,1.307784
13,1.629000,2.714550,4.984276,2.909462,4.279231,2.009459,2.981875,5.376439,2.408764,1.889769,2.318546,3.026686,2.604484,0.000000,1.586355,3.821164,0.916859,2.803296
14,3.211242,4.295318,6.560793,4.451052,5.435519,0.826203,3.671718,6.954322,3.629062,0.941365,0.945509,4.053853,3.716110,1.586355,0.000000,5.358367,2.212532,4.258542
15,2.245531,1.697078,2.175531,2.148835,2.346611,5.823560,3.495596,2.427590,3.658412,5.679259,6.139509,2.633117,2.474322,3.821164,5.358367,0.000000,3.692763,1.234667
16,1.476126,2.268582,4.461026,2.299473,4.647030,2.335542,3.691438,4.856702,1.504462,2.130424,2.691307,3.555299,3.105242,0.916859,2.212532,3.692763,0.000000,2.908478
17,1.460593,1.675227,3.203130,2.242879,1.934809,4.805632,2.362936,3.517715,3.358391,4.693008,5.097174,1.575801,1.307784,2.803296,4.258542,1.234667,2.908478,0.000000
