instance,n,K,alns_best,alns_mean,alns_time,bnb_best,bnb_mean,bnb_time,bnb_opt,bnb_nodes,bnb_dual,bnb_dual_gap_pct,ga_best,ga_mean,ga_time,greedy_best,greedy_mean,greedy_time,sa_best,sa_mean,sa_time,ref,ref_is_proven_optimum,alns_gap_pct,alns_mean_gap_pct,bnb_gap_pct,bnb_mean_gap_pct,ga_gap_pct,ga_mean_gap_pct,greedy_gap_pct,greedy_mean_gap_pct,sa_gap_pct,sa_mean_gap_pct
S1_n5_k2,5,2,452.5,452.5,9.88,452.5,452.5,0.0,True,198,452.5,0.0,452.5,452.5,6.33,567.3,567.3,0.0,452.5,452.5,15.15,452.5,True,0.0,0.0,0.0,0.0,0.0,0.0,25.37,25.37,0.0,0.0
S2_n6_k2,6,2,592.5,592.5,17.36,592.5,592.5,0.02,True,867,592.5,0.0,592.5,592.5,8.66,624.8,624.8,0.0,592.5,592.5,20.53,592.5,True,0.0,0.0,0.0,0.0,0.0,0.0,5.451,5.451,0.0,0.0
S3_n7_k2,7,3,568.5,568.5,22.18,568.5,568.5,0.04,True,1329,568.5,0.0,568.5,568.5,12.03,639.3,639.3,0.0,568.5,568.5,25.0,568.5,True,0.0,0.0,0.0,0.0,0.0,0.0,12.454,12.454,0.0,0.0
S4_n8_k3,8,3,670.5,676.4,25.0,670.5,670.5,0.29,True,10233,670.5,0.0,670.5,670.5,16.84,691.5,691.5,0.0,670.5,670.5,25.0,670.5,True,0.0,0.88,0.0,0.0,0.0,0.0,3.132,3.132,0.0,0.0
S5_n9_k3,9,3,593.7,593.7,25.0,593.7,593.7,1.2,True,35654,593.7,0.0,593.7,593.7,23.95,740.3,740.3,0.0,593.7,593.7,25.0,593.7,True,0.0,0.0,0.0,0.0,0.0,0.0,24.693,24.693,0.0,0.0
S6_n10_k3,10,3,839.5,839.5,25.0,839.5,839.5,13.82,True,428850,839.5,0.0,839.5,839.5,25.04,925.1,925.1,0.0,839.5,840.8,25.0,839.5,True,0.0,0.0,0.0,0.0,0.0,0.0,10.197,10.197,0.0,0.155
M1_n12_k4,12,4,930.0,933.0,25.0,984.3,984.3,20.0,False,572499,412.6,58.08,922.1,925.9,25.05,1035.7,1035.7,0.0,922.1,922.1,25.0,922.1,False,0.86,1.185,6.748,6.748,0.003,0.415,12.323,12.323,0.003,0.003
M2_n15_k4,15,4,1011.2,1017.4,25.0,1100.3,1100.3,20.0,False,419099,522.4,52.52,1011.2,1038.3,25.1,1316.1,1316.1,0.0,1011.2,1025.7,25.0,1011.2,False,-0.0,0.613,8.811,8.811,-0.0,2.68,30.152,30.152,-0.0,1.434
M3_n18_k5,18,5,1281.9,1281.9,25.01,1564.5,1564.5,20.0,False,359729,567.5,63.73,1292.5,1303.4,25.19,1564.5,1564.5,0.0,1461.6,1495.6,25.0,1281.9,False,0.0,0.0,22.046,22.046,0.827,1.677,22.046,22.046,14.018,16.671
L1_n20_k5,20,5,1451.1,1477.9,25.01,1830.5,1830.5,20.0,False,277204,636.1,65.25,1428.3,1436.2,25.26,1830.5,1830.5,0.0,1660.0,1664.5,25.0,1428.3,False,1.6,3.476,28.164,28.164,0.003,0.556,28.164,28.164,16.226,16.541
L2_n25_k6,25,6,1686.2,1702.0,25.01,2122.1,2122.1,20.0,False,61785,564.6,73.39,1702.4,1754.5,25.34,2122.1,2122.1,0.0,1923.5,1923.5,25.01,1686.2,False,-0.002,0.935,25.848,25.848,0.958,4.048,25.848,25.848,14.071,14.071
L3_n30_k6,30,6,2055.7,2109.8,25.02,2727.7,2727.7,20.0,False,58140,743.4,72.75,2183.8,2257.5,25.24,2727.7,2727.7,0.0,2317.0,2354.2,25.01,2055.7,False,0.002,2.634,32.692,32.692,6.234,9.819,32.692,32.692,12.713,14.523
